statement_invoice_number,statement_date,due_date,posting_date,purchase_date,description,currency,amount_currency_signed,amount_nok_signed,source_pdf,notes
47000418010029334010,2025-05-15,2025-05-30,2025-04-21,2025-04-20,"CURSOR USAGE MID APR CURSOR.COM",USD,-20.00,-214.77,47000418010029334010__1_.pdf,
47000418010029334010,2025-05-15,2025-05-30,2025-04-24,2025-04-23,"CURSOR USAGE MID APR CURSOR.COM",USD,-20.00,-212.97,47000418010029334010__1_.pdf,
47000418010029334010,2025-05-15,2025-05-30,2025-04-25,2025-04-24,"CURSOR, AI POWERED IDE CURSOR.COM",USD,-20.00,-215.39,47000418010029334010__1_.pdf,
47000418010029334010,2025-05-15,2025-05-30,2025-04-28,2025-04-27,"CURSOR USAGE MID APR CURSOR.COM",USD,-20.05,-216.35,47000418010029334010__1_.pdf,
47000418010029334010,2025-05-15,2025-05-30,2025-04-29,2025-04-28,"CURSOR USAGE MID APR CURSOR.COM",USD,-20.00,-215.81,47000418010029334010__1_.pdf,
47000418010029334010,2025-05-15,2025-05-30,2025-04-29,2025-04-29,"CURSOR USAGE MID APR CURSOR.COM",USD,-20.00,-213.52,47000418010029334010__1_.pdf,
47000418010029334010,2025-05-15,2025-05-30,2025-04-30,2025-04-29,"CURSOR USAGE MID APR CURSOR.COM",USD,-20.00,-213.52,47000418010029334010__1_.pdf,
47000418010029334010,2025-05-15,2025-05-30,2025-05-01,2025-04-30,"CURSOR USAGE MID APR CURSOR.COM",USD,-20.00,-212.08,47000418010029334010__1_.pdf,
47000418010029334010,2025-05-15,2025-05-30,2025-05-05,2025-05-04,"CURSOR USAGE MID MAY CURSOR.COM",USD,-20.00,-213.59,47000418010029334010__1_.pdf,
47000418010029334010,2025-05-15,2025-05-30,2025-05-07,2025-05-07,"CURSOR USAGE APR CURSOR.COM",USD,-9.65,-102.91,47000418010029334010__1_.pdf,
47000418010029334010,2025-05-15,2025-05-30,2025-05-14,2025-05-13,"CURSOR USAGE MID MAY CURSOR.COM",USD,-20.50,-219.36,47000418010029334010__1_.pdf,
47000418010029334010,2025-05-15,2025-05-30,2025-05-15,2025-05-14,"CURSOR USAGE MID MAY CURSOR.COM",USD,-20.15,-213.73,47000418010029334010__1_.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-05-16,2025-05-15,"CURSOR USAGE MID MAY CURSOR.COM",USD,-20.72,-220.45,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-05-16,2025-05-15,"CURSOR USAGE MID MAY CURSOR.COM",USD,-20.44,-217.47,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-05-24,2025-05-23,"CURSOR USAGE MID MAY CURSOR.COM",USD,-100.48,-1048.20,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-05-24,2025-05-23,"CURSOR USAGE MID MAY CURSOR.COM",USD,-100.88,-1051.82,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-05-24,2025-05-24,"CURSOR USAGE MID MAY CURSOR.COM",USD,-100.26,-1045.36,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-05-25,2025-05-24,"CURSOR USAGE MID MAY CURSOR.COM",USD,-100.04,-1043.07,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-05-25,2025-05-24,"CURSOR, AI POWERED IDE CURSOR.COM",USD,-20.00,-208.53,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-05-26,2025-05-25,"CURSOR USAGE MID MAY CURSOR.COM",USD,-100.13,-1044.01,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-05-26,2025-05-25,"CURSOR USAGE MID MAY CURSOR.COM",USD,-101.38,-1057.04,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-05-27,2025-05-26,"CURSOR USAGE MID MAY CURSOR.COM",USD,-100.56,-1048.49,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-05-28,2025-05-27,"CURSOR USAGE MID MAY CURSOR.COM",USD,-101.65,-1059.85,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-05-28,2025-05-27,"CURSOR USAGE MID MAY CURSOR.COM",USD,-100.42,-1041.16,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-05-28,2025-05-28,"CURSOR USAGE MID MAY CURSOR.COM",USD,-100.82,-1045.31,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-05-31,2025-05-30,"CURSOR USAGE MID MAY CURSOR.COM",USD,-102.81,-1076.74,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-05-31,2025-05-30,"CURSOR USAGE MID MAY CURSOR.COM",USD,-100.14,-1048.78,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-05-31,2025-05-30,"CURSOR USAGE MID MAY CURSOR.COM",USD,-100.05,-1044.56,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-05-31,2025-05-31,"CURSOR USAGE MID MAY CURSOR.COM",USD,-101.96,-1064.50,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-06-03,2025-06-02,"CURSOR USAGE MID JUN CURSOR.COM",USD,-101.19,-1056.46,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-06-03,2025-06-02,"CURSOR USAGE MID JUN CURSOR.COM",USD,-100.24,-1046.68,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-06-03,2025-06-03,"CURSOR USAGE MID JUN CURSOR.COM",USD,-100.26,-1046.88,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-06-04,2025-06-03,"CURSOR USAGE MID JUN CURSOR.COM",USD,-100.19,-1046.16,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-06-05,2025-06-04,"CURSOR USAGE MID JUN CURSOR.COM",USD,-100.02,-1037.32,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-06-05,2025-06-05,"CURSOR USAGE MID JUN CURSOR.COM",USD,-100.13,-1040.68,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-06-06,2025-06-05,"CURSOR USAGE MID JUN CURSOR.COM",USD,-100.82,-1047.86,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-06-06,2025-06-05,"CURSOR USAGE MID JUN CURSOR.COM",USD,-100.39,-1038.17,47000418010029334011.pdf,
47000418010029334011,2025-06-13,2025-06-28,2025-06-08,2025-06-07,"CURSOR USAGE MAY CURSOR.COM",USD,-50.17,-518.29,47000418010029334011.pdf,
47000418010029334012,2025-07-15,2025-07-30,2025-06-14,2025-06-13,"CURSOR USAGE MID JUN CURSOR.COM",USD,-101.68,-1047.39,47000418010029334012.pdf,
47000418010029334012,2025-07-15,2025-07-30,2025-06-25,2025-06-24,"CURSOR, AI POWERED IDE CURSOR.COM",USD,-20.00,-206.66,47000418010029334012.pdf,
47000418010029334012,2025-07-15,2025-07-30,2025-07-07,2025-07-06,"CURSOR USAGE JUN CURSOR.COM",USD,-65.08,-672.34,47000418010029334012.pdf,
47000418010029334013,2025-08-15,2025-08-30,2025-07-25,2025-07-24,"CURSOR, AI POWERED IDE CURSOR.COM",USD,-20.00,-206.93,47000418010029334013.pdf,
47000418010029334014,2025-09-15,2025-09-30,2025-08-25,2025-08-24,"CURSOR, AI POWERED IDE CURSOR.COM",USD,-20.00,-208.77,47000418010029334014.pdf,
47000418010029334015,2025-10-15,2025-10-30,2025-09-25,2025-09-24,"CURSOR, AI POWERED IDE CURSOR.COM",USD,-20.00,-203.84,47000418010029334015.pdf,
47000418010029334015,2025-10-15,2025-10-30,2025-10-01,2025-09-30,"CURSOR USAGE MID SEP CURSOR.COM",USD,-23.76,-242.50,47000418010029334015.pdf,
47000418010029334015,2025-10-15,2025-10-30,2025-10-12,2025-10-11,"CURSOR USAGE MID OCT CURSOR.COM",USD,-40.23,-416.34,47000418010029334015.pdf,
47000418010029334015,2025-10-15,2025-10-30,2025-10-15,2025-10-14,"CURSOR USAGE SEP CURSOR.COM",USD,-5.13,-53.27,47000418010029334015.pdf,
47000418010029334016,2025-11-14,2025-11-30,2025-10-23,2025-10-22,"CURSOR USAGE MID OCT CURSOR.COM",USD,-60.06,-618.70,47000418010029334016__1_.pdf,
47000418010029334016,2025-11-14,2025-11-30,2025-10-25,2025-10-24,"CURSOR USAGE MID OCT CURSOR.COM",USD,-80.41,-827.67,47000418010029334016__1_.pdf,
47000418010029334016,2025-11-14,2025-11-30,2025-10-25,2025-10-24,"CURSOR, AI POWERED IDE CURSOR.COM",USD,-20.00,-205.87,47000418010029334016__1_.pdf,
47000418010029334016,2025-11-14,2025-11-30,2025-10-26,2025-10-25,"CURSOR USAGE MID OCT CURSOR.COM",USD,-101.75,-1042.37,47000418010029334016__1_.pdf,
47000418010029334016,2025-11-14,2025-11-30,2025-10-30,2025-10-29,"CURSOR USAGE OCT CURSOR.COM",USD,-60.27,-616.32,47000418010029334016__1_.pdf,
47000418010029334016,2025-11-14,2025-11-30,2025-10-31,2025-10-30,"CURSOR USAGE MID OCT CURSOR.COM",USD,-100.25,-1026.16,47000418010029334016__1_.pdf,
47000418010029334016,2025-11-14,2025-11-30,2025-10-31,2025-10-30,"CURSOR USAGE MID OCT CURSOR.COM",USD,-100.32,-1026.88,47000418010029334016__1_.pdf,
47000418010029334016,2025-11-14,2025-11-30,2025-10-31,2025-10-30,"CURSOR USAGE MID OCT CURSOR.COM",USD,-100.13,-1024.94,47000418010029334016__1_.pdf,
47000418010029334016,2025-11-14,2025-11-30,2025-11-03,2025-11-02,"CURSOR USAGE MID OCT CURSOR.COM",USD,-100.12,-1035.54,47000418010029334016__1_.pdf,
47000418010029334016,2025-11-14,2025-11-30,2025-11-04,2025-11-04,"CURSOR USAGE MID OCT CURSOR.COM",USD,-100.23,-1037.25,47000418010029334016__1_.pdf,
47000418010029334016,2025-11-14,2025-11-30,2025-11-05,2025-11-04,"CURSOR USAGE MID OCT CURSOR.COM",USD,-100.06,-1035.50,47000418010029334016__1_.pdf,
47000418010029334016,2025-11-14,2025-11-30,2025-11-05,2025-11-04,"CURSOR USAGE MID OCT CURSOR.COM",USD,-104.95,-1095.67,47000418010029334016__1_.pdf,
47000418010029334016,2025-11-14,2025-11-30,2025-11-06,2025-11-05,"CURSOR USAGE MID OCT CURSOR.COM",USD,-103.73,-1082.93,47000418010029334016__1_.pdf,
47000418010029334016,2025-11-14,2025-11-30,2025-11-07,2025-11-06,"CURSOR USAGE MID OCT CURSOR.COM",USD,-100.74,-1053.97,47000418010029334016__1_.pdf,
47000418010029334016,2025-11-14,2025-11-30,2025-11-07,2025-11-06,"CURSOR USAGE MID OCT CURSOR.COM",USD,-100.20,-1048.32,47000418010029334016__1_.pdf,
47000418010029334016,2025-11-14,2025-11-30,2025-11-07,2025-11-07,"CURSOR USAGE MID OCT CURSOR.COM",USD,-101.68,-1061.84,47000418010029334016__1_.pdf,
47000418010029334016,2025-11-14,2025-11-30,2025-11-07,2025-11-07,"CURSOR USAGE MID OCT CURSOR.COM",USD,-100.07,-1045.03,47000418010029334016__1_.pdf,
47000418010029334016,2025-11-14,2025-11-30,2025-11-12,2025-11-11,"CURSOR USAGE MID OCT CURSOR.COM",USD,-100.03,-1039.94,47000418010029334016__1_.pdf,
47000418010029334016,2025-11-14,2025-11-30,2025-11-14,2025-11-14,"CURSOR USAGE MID OCT CURSOR.COM",USD,-100.44,-1034.03,47000418010029334016__1_.pdf,
47000418010029334017,2025-12-15,2025-12-30,2025-11-15,2025-11-15,"CURSOR USAGE MID OCT CURSOR.COM",USD,-100.03,-1031.03,47000418010029334017.pdf,
47000418010029334017,2025-12-15,2025-12-30,2025-11-16,2025-11-16,"CURSOR USAGE MID OCT CURSOR.COM",USD,-100.23,-1033.10,47000418010029334017.pdf,
47000418010029334017,2025-12-15,2025-12-30,2025-11-19,2025-11-18,"CURSOR USAGE MID OCT CURSOR.COM",USD,-100.18,-1033.59,47000418010029334017.pdf,
47000418010029334017,2025-12-15,2025-12-30,2025-11-22,2025-11-21,"CURSOR USAGE MID OCT CURSOR.COM",USD,-100.34,-1054.42,47000418010029334017.pdf,
47000418010029334017,2025-12-15,2025-12-30,2025-11-25,2025-11-24,"CURSOR, AI POWERED IDE CURSOR.COM",USD,-20.00,-210.17,47000418010029334017.pdf,
47000418010029334017,2025-12-15,2025-12-30,2025-11-27,2025-11-26,"CURSOR USAGE OCT CURSOR.COM",USD,-34.35,-360.02,47000418010029334017.pdf,
47000418010029334017,2025-12-15,2025-12-30,2025-11-27,2025-11-26,"CURSOR USAGE MID NOV CURSOR.COM",USD,-100.08,-1046.10,47000418010029334017.pdf,
47000418010029334017,2025-12-15,2025-12-30,2025-11-30,2025-11-29,"CURSOR USAGE MID NOV CURSOR.COM",USD,-100.08,-1042.49,47000418010029334017.pdf,
47000418010029334017,2025-12-15,2025-12-30,2025-11-30,2025-11-29,"CURSOR, AI POWERED IDE CURSOR.COM",USD,-60.00,-624.99,47000418010029334017.pdf,
47000418010029334017,2025-12-15,2025-12-30,2025-11-30,2025-11-29,"CURSOR, AI POWERED IDE NEW YORK",USD,16.98,168.17,47000418010029334017.pdf,credit_or_refund
47000418010029334017,2025-12-15,2025-12-30,2025-12-01,2025-11-30,"CURSOR USAGE NOV CURSOR.COM",USD,-2.18,-22.70,47000418010029334017.pdf,
47000418010029334017,2025-12-15,2025-12-30,2025-12-03,2025-12-03,"CURSOR USAGE MID NOV CURSOR.COM",USD,-102.16,-1058.97,47000418010029334017.pdf,
47000418010029334017,2025-12-15,2025-12-30,2025-12-07,2025-12-07,"CURSOR USAGE MID NOV CURSOR.COM",USD,-100.00,-1033.40,47000418010029334017.pdf,
47000418010029334017,2025-12-15,2025-12-30,2025-12-09,2025-12-09,"CURSOR USAGE MID NOV CURSOR.COM",USD,-101.45,-1050.32,47000418010029334017.pdf,
