source,provider,date,description,amount_usd,invoice_url,draft_location,status_code
Cursor,Cursor,2025-06-24,Cursor billing invoice,20.00,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TWWxtM3F3YTNzc0k0V2tJR1lqeTZobnRVbUN2cE55LDE2NjAwNTIxMA0200P2FrHqmp?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016090,201
Cursor,Cursor,2025-06-11,Cursor Usage for June 2025 (Mid-Month Invoice),101.68,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TVGszMkVtU21DVWp1bnY2UGtmVmNIeHFQalVXYm44LDE2NjAwNTIxMA0200Jd30irAe?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016092,201
Cursor,Cursor,2025-06-07,Cursor Usage for May 2025,50.17,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TU0pESllyNWFXaVNrdTFWMWswY2tHRUtzeWZFMnh0LDE2NjAwNTIxMA0200tgI5XICW?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016093,201
Cursor,Cursor,2025-06-05,Cursor Usage for June 2025 (Mid-Month Invoice),100.39,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TUmdodkJRaUVDd1pMQlVTcDh0dEtBTGI3ZUlBTVdNLDE2NjAwNTIxMA0200gpbXm9Ly?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016094,201
Cursor,Cursor,2025-06-05,Cursor Usage for June 2025 (Mid-Month Invoice),100.82,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TUmVZRjgzeU9FTEFVMXUzQm55QkFEQjdJd2NudGh6LDE2NjAwNTIxMA0200MSVWIcG2?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016096,201
Cursor,Cursor,2025-06-05,Cursor Usage for June 2025 (Mid-Month Invoice),100.13,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TUktLeElpSmhMbzdlQllkZ3VSQkZqZGppMklhd0V3LDE2NjAwNTIxMA0200Je8jDAuR?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016099,201
Cursor,Cursor,2025-06-04,Cursor Usage for June 2025 (Mid-Month Invoice),100.02,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TUkhYcWxWWEpQUm9yVDFIWVVzMXVOSjFMUjhkRnpSLDE2NjAwNTIxMA0200izASJeUH?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016100,201
Cursor,Cursor,2025-06-03,Cursor Usage for June 2025 (Mid-Month Invoice),100.19,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TUXR2cGRtOVZJRVV1WVlSUkhIVUxndEpzcVNHVmJjLDE2NjAwNTIxMA0200m1WqCyj0?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016103,201
Cursor,Cursor,2025-06-03,Cursor Usage for June 2025 (Mid-Month Invoice),100.26,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TUWhNM2w5SnFBUkh0ejNxMWYwVlRKZG9VU0N1Nlp2LDE2NjAwNTIxMA0200gcWcPVin?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016105,201
Cursor,Cursor,2025-06-02,Cursor Usage for June 2025 (Mid-Month Invoice),100.24,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TUVlHVENHMlVqYjMxa3U4eEQzVjQ4SWV6MWxQU0w5LDE2NjAwNTIxMA0200H0zQjPO9?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016106,201
Cursor,Cursor,2025-06-02,Cursor Usage for June 2025 (Mid-Month Invoice),101.19,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TUVZTWTBERkcyRWlreG5DeW5WTkx6eGxXbGVmZ2QyLDE2NjAwNTIxMA0200YxcWFTP3?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016107,201
Cursor,Cursor,2025-07-24,Cursor billing invoice,20.00,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TazBZSHBMazNBRG50WVRwdDVtU3gyQk12M2pobUdCLDE2NjAwNTIxMA0200lWHKqdWs?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016110,201
Cursor,Cursor,2025-07-06,Cursor Usage for June 2025,65.08,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TZDRhMW03Sk5Vc21xb3ZMeExaWjROcThxNFlFdkptLDE2NjAwNTIxMA0200k9J1wwcr?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016112,201
Cursor,Cursor,2025-08-24,Cursor billing invoice,20.00,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9TdmNYZUd5YlVhalloQ3pYNVhYZ3FhQUNBS3FaaWRNLDE2NjAwNTIxMA0200lakNt8sX?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016115,201
Cursor,Cursor,2025-09-30,Cursor Usage for September 2025 (Mid-Month Invoice),23.76,https://invoice.stripe.com/i/acct_1Lb5LzB4TZWxSIGU/live_YWNjdF8xTGI1THpCNFRaV3hTSUdVLF9UOVRnTHhmTVpmU0dwZlhZRjY0d0JFMXdMdGRCNXM4LDE2NjAwNTIxMA0200IXPZ7EP2?s=ap,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016116,201
