draft_id,source,provider,date,amount_usd,pdf,status_code,attachment_location,ok
11862016090,Cursor,Cursor,2025-06-24,20.00,47000418010029334012.pdf,404,,no
11862016092,Cursor,Cursor,2025-06-11,101.68,47000418010029334012.pdf,404,,no
11862016093,Cursor,Cursor,2025-06-07,50.17,47000418010029334011.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016093/attachments,yes
11862016094,Cursor,Cursor,2025-06-05,100.39,47000418010029334011.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016094/attachments,yes
11862016096,Cursor,Cursor,2025-06-05,100.82,47000418010029334011.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016096/attachments,yes
11862016099,Cursor,Cursor,2025-06-05,100.13,47000418010029334011.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016099/attachments,yes
11862016100,Cursor,Cursor,2025-06-04,100.02,47000418010029334011.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016100/attachments,yes
11862016103,Cursor,Cursor,2025-06-03,100.19,47000418010029334011.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016103/attachments,yes
11862016105,Cursor,Cursor,2025-06-03,100.26,47000418010029334011.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016105/attachments,yes
11862016106,Cursor,Cursor,2025-06-02,100.24,47000418010029334011.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016106/attachments,yes
11862016107,Cursor,Cursor,2025-06-02,101.19,47000418010029334011.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016107/attachments,yes
11862016110,Cursor,Cursor,2025-07-24,20.00,47000418010029334013.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016110/attachments,yes
11862016112,Cursor,Cursor,2025-07-06,65.08,47000418010029334012.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016112/attachments,yes
11862016115,Cursor,Cursor,2025-08-24,20.00,47000418010029334014.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016115/attachments,yes
11862016116,Cursor,Cursor,2025-09-30,23.76,47000418010029334015.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016116/attachments,yes
11862016118,Cursor,Cursor,2025-09-24,20.00,47000418010029334015.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016118/attachments,yes
11862016119,Cursor,Cursor,2025-10-30,100.13,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016119/attachments,yes
11862016120,Cursor,Cursor,2025-10-30,100.32,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016120/attachments,yes
11862016121,Cursor,Cursor,2025-10-30,100.25,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016121/attachments,yes
11862016122,Cursor,Cursor,2025-10-29,60.27,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016122/attachments,yes
11862016123,Cursor,Cursor,2025-10-25,101.75,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016123/attachments,yes
11862016127,Cursor,Cursor,2025-10-24,20.00,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016127/attachments,yes
11862016129,Cursor,Cursor,2025-10-24,80.41,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016129/attachments,yes
11862016133,Cursor,Cursor,2025-10-22,60.06,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016133/attachments,yes
11862016135,Cursor,Cursor,2025-10-14,5.13,47000418010029334015.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016135/attachments,yes
11862016137,Cursor,Cursor,2025-10-11,40.23,47000418010029334015.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016137/attachments,yes
11862016138,Cursor,Cursor,2025-11-30,2.18,47000418010029334017.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016138/attachments,yes
11862016139,Cursor,Cursor,2025-11-29,100.08,47000418010029334017.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016139/attachments,yes
11862016140,Cursor,Cursor,2025-11-26,100.08,47000418010029334017.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016140/attachments,yes
11862016142,Cursor,Cursor,2025-11-26,34.35,47000418010029334017.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016142/attachments,yes
11862016145,Cursor,Cursor,2025-11-21,100.34,47000418010029334017.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016145/attachments,yes
11862016146,Cursor,Cursor,2025-11-18,100.18,47000418010029334017.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016146/attachments,yes
11862016150,Cursor,Cursor,2025-11-16,100.23,47000418010029334017.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016150/attachments,yes
11862016151,Cursor,Cursor,2025-11-15,100.03,47000418010029334017.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016151/attachments,yes
11862016152,Cursor,Cursor,2025-11-14,100.44,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016152/attachments,yes
11862016155,Cursor,Cursor,2025-11-11,100.03,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016155/attachments,yes
11862016158,Cursor,Cursor,2025-11-07,100.07,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016158/attachments,yes
11862016159,Cursor,Cursor,2025-11-07,101.68,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016159/attachments,yes
11862016160,Cursor,Cursor,2025-11-06,100.20,47000418010029334016__1_.pdf,201,https://api.fiken.no/api/v2/companies/fiskeavisen-daniel-tilrem/purchases/drafts/11862016160/attachments,yes
